Mon Dec 19 12:04:31 2005
1,"Raw Read Error Rate",11,100,100,0,0,0,0,0,0,0,
2,"Througput Performance",5,100,100,0,0,0,0,0,0,0,
3,"Spin Up Time",7,102,102,11,1,12,1,5,0,0,
4,"Start/Stop Count",18,100,100,173,5,0,0,0,0,0,
5,"Reallocated Sector Count",51,100,100,0,0,0,0,0,0,0,
7,"Seek Error Rate",11,100,100,0,0,0,0,0,0,0,
8,"Seek Time Performance",5,100,100,0,0,0,0,0,0,0,
9,"Power On Hours Count",18,100,100,14,23,0,0,0,0,0,
10,"Spin Retry Count",19,100,100,0,0,0,0,0,0,0,
12,"Device Power Cycle Count",50,100,100,166,5,0,0,0,0,0,
192,"Power-off Retract Count",50,99,99,68,6,0,0,0,0,0,
193,"Load/Unload Cycle Count",18,99,99,68,6,0,0,0,0,0,
194,"Temperature",2,134,134,41,0,4,0,52,0,0,
196,"Reallocation Event Count",50,100,100,0,0,0,0,0,0,0,
197,"Current Pending Sector Count",34,100,100,0,0,0,0,0,0,0,
198,"Off-line Scan Uncorrectable Sector Count",8,100,100,0,0,0,0,0,0,0,
199,"Ultra DMA CRC Error Rate",10,200,200,0,0,0,0,0,0,0,

Mon Dec 19 12:06:20 2005
1,"Raw Read Error Rate",11,100,100,0,0,0,0,0,0,0,
2,"Througput Performance",5,100,100,0,0,0,0,0,0,0,
3,"Spin Up Time",7,102,102,11,1,12,1,5,0,0,
4,"Start/Stop Count",18,100,100,173,5,0,0,0,0,0,
5,"Reallocated Sector Count",51,100,100,0,0,0,0,0,0,0,
7,"Seek Error Rate",11,100,100,0,0,0,0,0,0,0,
8,"Seek Time Performance",5,100,100,0,0,0,0,0,0,0,
9,"Power On Hours Count",18,100,100,14,23,0,0,0,0,0,
10,"Spin Retry Count",19,100,100,0,0,0,0,0,0,0,
12,"Device Power Cycle Count",50,100,100,166,5,0,0,0,0,0,
192,"Power-off Retract Count",50,99,99,68,6,0,0,0,0,0,
193,"Load/Unload Cycle Count",18,99,99,68,6,0,0,0,0,0,
194,"Temperature",2,134,134,41,0,4,0,52,0,0,
196,"Reallocation Event Count",50,100,100,0,0,0,0,0,0,0,
197,"Current Pending Sector Count",34,100,100,0,0,0,0,0,0,0,
198,"Off-line Scan Uncorrectable Sector Count",8,100,100,0,0,0,0,0,0,0,
199,"Ultra DMA CRC Error Rate",10,200,200,0,0,0,0,0,0,0,

Mon Dec 19 12:06:22 2005
1,"Raw Read Error Rate",11,100,100,0,0,0,0,0,0,0,
2,"Througput Performance",5,100,100,0,0,0,0,0,0,0,
3,"Spin Up Time",7,102,102,11,1,12,1,5,0,0,
4,"Start/Stop Count",18,100,100,173,5,0,0,0,0,0,
5,"Reallocated Sector Count",51,100,100,0,0,0,0,0,0,0,
7,"Seek Error Rate",11,100,100,0,0,0,0,0,0,0,
8,"Seek Time Performance",5,100,100,0,0,0,0,0,0,0,
9,"Power On Hours Count",18,100,100,14,23,0,0,0,0,0,
10,"Spin Retry Count",19,100,100,0,0,0,0,0,0,0,
12,"Device Power Cycle Count",50,100,100,166,5,0,0,0,0,0,
192,"Power-off Retract Count",50,99,99,68,6,0,0,0,0,0,
193,"Load/Unload Cycle Count",18,99,99,68,6,0,0,0,0,0,
194,"Temperature",2,134,134,41,0,4,0,52,0,0,
196,"Reallocation Event Count",50,100,100,0,0,0,0,0,0,0,
197,"Current Pending Sector Count",34,100,100,0,0,0,0,0,0,0,
198,"Off-line Scan Uncorrectable Sector Count",8,100,100,0,0,0,0,0,0,0,
199,"Ultra DMA CRC Error Rate",10,200,200,0,0,0,0,0,0,0,

Mon Dec 19 12:06:23 2005
1,"Raw Read Error Rate",11,100,100,0,0,0,0,0,0,0,
2,"Througput Performance",5,100,100,0,0,0,0,0,0,0,
3,"Spin Up Time",7,102,102,11,1,12,1,5,0,0,
4,"Start/Stop Count",18,100,100,173,5,0,0,0,0,0,
5,"Reallocated Sector Count",51,100,100,0,0,0,0,0,0,0,
7,"Seek Error Rate",11,100,100,0,0,0,0,0,0,0,
8,"Seek Time Performance",5,100,100,0,0,0,0,0,0,0,
9,"Power On Hours Count",18,100,100,14,23,0,0,0,0,0,
10,"Spin Retry Count",19,100,100,0,0,0,0,0,0,0,
12,"Device Power Cycle Count",50,100,100,166,5,0,0,0,0,0,
192,"Power-off Retract Count",50,99,99,68,6,0,0,0,0,0,
193,"Load/Unload Cycle Count",18,99,99,68,6,0,0,0,0,0,
194,"Temperature",2,134,134,41,0,4,0,52,0,0,
196,"Reallocation Event Count",50,100,100,0,0,0,0,0,0,0,
197,"Current Pending Sector Count",34,100,100,0,0,0,0,0,0,0,
198,"Off-line Scan Uncorrectable Sector Count",8,100,100,0,0,0,0,0,0,0,
199,"Ultra DMA CRC Error Rate",10,200,200,0,0,0,0,0,0,0,

