0,レタス,500,0,0
1,トマト,880,0,0
2,きゅうり,600,0,0
3,ほうれん草,550,0,0
4,コーン,800,0,0
5,ねぎ,650,0,0
6,ﾌﾞﾛｯｺﾘｰ,600,0,0
7,梅干し,440,0,0
8,にんじん,660,0,0
9,ｶﾎﾞﾁｬ,500,0,0
10,ｻﾂﾏｲﾓ,400,0,0
11,ｼﾞｬｶﾞｲﾓ,450,0,0
12,みかん,300,1,0
13,ﾁｪﾘｰ,280,1,0
14,バナナ,300,1,0
15,りんご,500,1,0
16,ｽﾄﾛﾍﾞﾘｰ,600,1,0
17,黄桃,800,1,0
18,ﾌﾞﾙｰﾍﾞﾘｰ,500,1,0
19,ﾎﾟﾃﾄﾌﾗｲ,300,2,0
20,ｺﾝﾌﾞ,800,2,0
21,ﾀﾏｺﾞ巻き,500,2,0
22,ｽﾊﾟｹﾞﾃｨ,670,2,0
23,ﾏｶﾛﾆ,680,2,0
24,ｶﾆｶﾏ,500,2,0
25,ツナ,800,2,0
26,ハム,400,2,0
27,卵,600,2,0
28,カツ,1200,2,0
29,ベーコン,300,2,0
30,ワカメ,500,2,0
31,イカ,400,2,0
32,タコ,260,2,0
33,えび,500,2,0
34,ｴﾋﾞﾌﾗｲ,600,2,0
35,キス,550,2,0
36,チキン,450,2,0
37,ﾏｽﾀｰﾄﾞ,500,3,0
38,ﾏｰｶﾞﾘﾝ,500,3,0
39,ﾊﾞﾀｰﾛｰﾙ,600,3,0
40,小麦粉,550,3,0
41,ｶﾞｰﾘｯｸ,350,3,0
42,砂糖,800,3,0
43,塩,750,3,0
44,ｻﾗﾀﾞ油,550,3,0
45,ｵﾘｰﾌﾞｵｲﾙ,800,3,0
46,ﾘｷｭｰﾙ,1000,3,0
47,ﾏﾖﾈｰｽﾞ,800,3,0
48,ｶﾗｼ,750,3,0
49,生ｸﾘｰﾑ,980,3,0
50,ｼﾞｬﾑ,500,3,0
51,ﾗｰﾄﾞ,800,3,0
52,胡椒,900,3,0
53,ｶﾂｵﾌﾞｼ,880,3,0
